LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0115,relative to notice of rent increases in certain residential rental property.,HB 170,This bill proclaims a yearly commemoration of the first labor strike in the United States by women in Dover.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=115&txtFormat=html,Casey Conley,"Ivy Vann, Kristina Schultz, Safiya Wazir, Cam Kenney, Wendy Chase",1/4/2021
21-0116,relative to community revitalization tax relief incentives.,HB 154-LOCAL,This bill enables municipalities to offer community revitalization tax incentives for the construction of additional housing in designated areas.  The bill also revises the criteria for assistance from the affordable housing fund administered by the housing finance authority.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=116&txtFormat=html,Casey Conley,"David Watters, Ivy Vann, Skip Cleaver, Chuck Grassie, Andrew Bouldin",1/4/2021
21-0117,commemorating the first labor strike in the United States by women.,HB 160,This bill requires notice by a landlord of at least 60 days of a proposed rent increase which exceeds 5 percent or notice of at least 90 days of an increase which exceeds 8 percent.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=117&txtFormat=html,Casey Conley,"Peter Bixby, Sherry Frost, Kristina Fargo, Wendy Chase, Cassandra  Levesque, Amanda Toll, Ariel Oxaal",1/4/2021
21-0118,relative to food in cigar shops.,,,,John Potucek,"Constance Van Houten, Cody Belanger",1/4/2021
21-0119,requiring the independent investment committee of the New Hampshire retirement system to report investment fees.,CACR 4,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=119&txtFormat=html,Dianne Schuett,"Mark Pearson, Kristina Schultz, Arthur Ellison, Gary Merchant",1/4/2021
21-0121,relative to safety requirements for pools on foreclosed residential property.,,,,Patrick Abrami,,1/4/2021
21-0122,relative to noncompete agreements for certain mental health professionals.,HB 164,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=122&txtFormat=html,Patrick Abrami,,1/4/2021
21-0123,"relative to the acquisition, sale, or demolition of municipal land or buildings.",HB 165,"This bill mandates that certain noncompete provisions in employment contracts for pastoral psychotherapists, clinical social workers, clinical mental health counselors, and marriage and family therapists licensed by the board of mental health practice and psychologists licensed by the board of psychologists, are not enforceable.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=123&txtFormat=html,Patrick Abrami,Julie Gilman,1/4/2021
21-0124,relative to the content of an adequate education.,HB 166,"This bill requires that any pool, spa, or other water feature structure on the premises of a foreclosed residential property have an approved cover or net.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=124&txtFormat=html,Rick Ladd,"Ralph Boehm, Karen Umberger, Steven Smith, Glenn Cordelli, Deborah Hobson",1/4/2021
21-0125,increasing the penalty for buyers under the law regarding trafficking in persons.,,,,Linda Massimilla,"Karen Ebel, Latha Mangipudi, Phyllis Katsakiores, Patricia Klee, Timothy Egan",1/4/2021
21-0126,"redistricting.  Providing that an independent redistricting commission shall be established to draw boundaries for state and federal offices.
",HB 173-FN,This bill requires the quarterly report of the retirement system's independent investment committee to include a description of investment fees.  The bill also requires independent investment committee reports to be available on the retirement system's Internet website.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=126&txtFormat=html,Dianne Schuett,Marjorie Porter,10/1/2020
21-0127,relative to state aid to school districts with special education pupils.,HB 171,"This bill allows the service but not the sale of food in cigar shops holding an on-premises cigar, beverage, and liquor license.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=127&txtFormat=html,Rick Ladd,"Barbara Shaw, Steven Smith, James Gray, Ruth Ward, James Allard, Judy Aron, Walter Spilsbury",1/4/2021
21-0128,making a technical correction and a clarification in the law governing death benefits for emergency medical technicians and rescue squad members.,HB 172,This bill establishes greenhouse gas emission reduction goals for the state and authorizes the department of environmental services to inventory greenhouse gas emissions on an annual basis and to develop and report on a 5-year action plan.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=128&txtFormat=html,Dianne Schuett,"Jeffrey Goley, Timothy Soucy",1/4/2021
21-0129,extending certain civil immunity to public and private entities during major public health emergencies.,HB 146,This bill requires health care providers to furnish upon request a list of ingredients contained in any injectable medication that is recommended or administered.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=129&txtFormat=html,Walter Stapleton,"Jordan Ulery, Al Baldasaro, Steven Smith, Skip Rollins, William Marsh, Mark Pearson",1/4/2021
21-0130,creating a private cause of action for discrimination based on hairstyles relative to a person's ethnicity.  ,HB 175,This bill requires the commissioner of the department of safety to issue a driver's license to any individual who can provide satisfactory evidence of completion of a course of driver education approved by the state in which the course was offered.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=130&txtFormat=html,Mary Beth Walz,,1/4/2021
21-0131,renaming Columbus Day as Indigenous People's Day.,HB 155,This bill renames Columbus Day as Indigenous People's Day for the purpose of state holidays.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=131&txtFormat=html,Timothy Horrigan,"Suzanne Vail, Amanda Bouldin, Andrew Bouldin, Cam Kenney",1/4/2021
21-0132,relative to reciprocal driver education. ,,,,Barbara Comtois,"Raymond Howard, James Mason",1/4/2021
21-0133,requiring health care providers to furnish upon request a list of ingredients contained in an injectable medication that is recommended or administered.,HB 149-FN,This bill establishes immunity from civil liability for public and private entities during a declared state of emergency due to a public health risk if the entity was acting in good faith and in accordance with public health and safety directives.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=133&txtFormat=html,Barbara Comtois,"Judy Aron, Leah Cushman",1/4/2021
21-0134,establishing greenhouse gas emission reduction goals for the state and establishing a climate action plan.,HB 150,"This bill makes a technical correction in the law governing death benefits for emergency medical technicians and rescue squad members.  This bill also clarifies the definition of ""rescue squad member.""",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=134&txtFormat=html,Joyce Weston,"Suzanne Smith, Suzanne Vail, Lee Oxenham, Kat McGhee, Sparky Von Plinsky, Rebecca McWilliams",12/15/2020
21-0135,relative to remote board meetings under the right-to-know law and authorizing certain procedures for rulemaking. ,,,,Carol McGuire,"John Reagan, Peter Schmidt, William Hatch, Dianne Schuett",1/4/2021
21-0136,relative to the use of physical agent modalities by occupational therapists.,CACR 5,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=136&txtFormat=html,Carol McGuire,"John Reagan, Mark Pearson",1/4/2021
21-0137,relative to human trafficking and child exploitation prevention.,HB 94-FN,"This bill revises the procedure and timeframe for license renewals of allied health professionals, body art practitioners, podiatrists, chiropractors, acupuncturists, and veterinarians.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=137&txtFormat=html,Fred Plett,,1/4/2021
21-0139,relative to licensure renewal dates for certain governing boards under the office of professional licensure and certification.,HB 93-FN,"This bill prohibits the manufacture, sale, or lease of an internet-enabled device unless the device includes a filter that blocks obscene material and establishes a fee for deactivating the filter.  The bill also establishes a live adult entertainment admission fee.  Both fees would be deposited in a human trafficking and child exploitation prevention grant fund, to be administered by the attorney general.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=139&txtFormat=html,Carol McGuire,Tony Lekas,1/4/2021
21-0140,New Hampshire general court.  Providing that the provision for compensation of legislators is removed.,,,,Rebecca McWilliams,Timothy Horrigan,1/4/2021
21-0142,relative to claims for medical monitoring.,,,,Robert Renny Cushing,"Michael Edgar, Tom Sherman, Rosemarie Rung, Wendy Chase",1/4/2021
21-0143,establishing a protective order for vulnerable adults.,,,,Robert Renny Cushing,"Latha Mangipudi, Wendy Chase",1/4/2021
21-0145,relative to posting legislative amendments on the New Hampshire legislative website.,,,,Rebecca McWilliams,Josh Yokela,11/3/2020
21-0146,prohibiting public funding of abortions and establishing the New Hampshire foster care and adoption initiative fund.,,,,Fred Plett,,10/26/2020
21-0147,"exempting services provided without renumeration from license requirements for barbering, cosmetology, and esthetics.",,,,Carol McGuire,"John Reagan, Kurt Wuelper, Ruth Ward, Rosemarie Rung, Tony Lekas, Tim Baxter",1/4/2021
21-0148,"relative to child day care monitoring visits, requirements for child day care providers, and the appeals process for child day care providers.",,,,Rebecca McWilliams,"Josh Yokela, Rebecca Whitley",1/4/2021
21-0152,requiring the adoption of innovative vehicle emissions standards pursuant to section 177 of the federal Clean Air Act.,HB 167-FN,This bill increases the electric generating capacity of customer generators who may participate in net energy metering and modifies the transition of tariffs applicable to certain customer-generators.  The bill clarifies the definition of eligible customer-generator for purposes of the utility property tax.  The bill also expands the authority of limited producers of electrical energy to sell its output in the private sector.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=152&txtFormat=html,Rebecca McWilliams,"Kat McGhee, Tony Caplan",1/4/2021
21-0153,relative to net energy metering limits for customer generators and the purchase of output of limited electrical energy producers. ,HB 168-FN,"This bill requires the adoption of California Low Emission/Zero Emission vehicle standards to protect public health, enable New Hampshire automotive customers to utilize the extended emissions-specific warranty, and to enable New Hampshire automotive dealers to carry Zero Emissions Vehicles in stock.  The bill also makes an appropriation to the department of environmental services to fund an additional position.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=153&txtFormat=html,Rebecca McWilliams,Kat McGhee,1/4/2021
21-0154,relative to the installation of solar energy systems in condominiums.,,,,Rebecca McWilliams,Kat McGhee,1/4/2021
21-0155,"declaring May 21 as Ona ""Oney"" Judge Day and naming the new terminal at Portsmouth international airport at Pease in her honor.  ",,,,Robert Renny Cushing,"Linda Harriott-Gathright, Charlotte DiLorenzo, Tom Sherman, Safiya Wazir",12/15/2020
21-0156,establishing a license for mushroom harvesters.,,,,Jerry Knirk,"Jeb Bradley, Peter Bixby, Tom Sherman, Sallie Fellows, Megan Murray, Gary Merchant",1/4/2021
21-0157,relative to the labeling and sale of hemp products containing CBD.,,,,Jerry Knirk,"Peter Bixby, William Marsh, Howard Pearl, Constance Van Houten, Tom Sherman, Joyce Weston, Gary Woods, Cindy Rosenwald",11/30/2020
21-0158,"expanding the New Hampshire vaccine association to include adult vaccines.
",,,,Jerry Knirk,"Joe Schapiro, Joyce Weston, Gary Woods, Kristina Fargo, Cindy Rosenwald, Erin Hennessey",1/4/2021
21-0159,relative to payment by the state of a portion of retirement system contributions of political subdivision employers.,,,,Michael O'Brien,"Robert Renny Cushing, Cindy Rosenwald",1/4/2021
21-0160,"allowing beverages, wine, and mixed drinks to be sold for take out and delivery by restaurants holding an on-premises license.",HB 176,"This bill allows beverages, wine, and mixed drinks to be sold for take out and delivery by restaurants holding an on-premises license.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=160&txtFormat=html,Rebecca McWilliams,"Harold French, Kevin Cavanaugh, Josh Yokela, Dennis Acton",1/4/2021
21-0164,relative to treatment alternatives to opioids.,HB 187,"This bill makes various changes to the powers of the commissioner of the department of health and human services during a public health emergency; authorizes the joint legislative oversight committee on health and human services to review, and rescind by a 2/3 vote, emergency orders issued by the commissioner; gives a person subject to a treatment order for a communicable disease a right to a hearing on the order; and amends the membership and duties of the ethics oversight advisory committee.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=164&txtFormat=html,David Lundgren,"Karel Crawford, Linda Massimilla, Richard Lascelles, David Love, Tom Dolan",12/24/2020
21-0165,establishing a commission to study payments in lieu of taxes.,HB 118,"This bill makes changes to the fish and game commission including notice of appointment, qualifications, and misconduct and removal from office.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=165&txtFormat=html,James Gray,,12/24/2020
21-0166,relative to the property tax exemption for educational organizations.,,,,James Gray,,12/24/2020
21-0167,relative to penalties for violation of privacy.,,,,James Gray,,1/4/2021
21-0168,"prohibiting provocations based on a victim’s actual or perceived gender, gender identity, gender expression, or sexual orientation from being used as a defense in manslaughter cases.",,,,Joshua Query,"Linda Tanner, Amanda Bouldin, Joyce Weston, Joe Alexander, Lisa Bunker, Sue Mullen, Cassandra  Levesque, Rebecca Perkins Kwoka, Amanda Toll",1/4/2021
21-0169,relative to number plates for motor vehicles.,,,,Andrew Prout,"Mark Warden, Jason Osborne, Peter Torosian, Casey Conley, Alicia Lekas, Tony Lekas",11/20/2020
21-0170,relative to funding kindergarten adequate education grants and making an appropriation therefor. ,,,,Regina Birdsell,,1/4/2021
21-0171,"adding members from Londonderry to the commission to investigate and analyze the environmental and public health impacts relating to releases of perfluorinated chemicals into the air, soil, and groundwater in Merrimack, Bedford, and Litchfield.",,,,Rosemarie Rung,"Douglas Thomas, Maureen Mooney, Sue Mullen, Robert Healey",1/4/2021
21-0172,relative to the fish and game commission.,,,,Cathryn Harvey,"David Watters, Susan Almy, Raymond Howard, Troy Merner, Amanda Gourgue",1/4/2021
21-0173,relative to the emergency powers of the commissioner of health and human services.,,,,William Marsh,"Al Baldasaro, Jason Osborne, Timothy Lang, Andrew Prout, Jess Edwards, Jeffrey Salloway, Kevin Craig, Melissa Blasek",12/24/2020
21-0174,relative to the disqualification of certain persons from performing duties as an election official.,,,,James Gray,,12/24/2020
21-0175,relative to the establishment of an election information portal.,,,,James Gray,,1/4/2021
21-0176,relative to trout.,,,,Lino Avellani,,12/24/2020
21-0177,relative to recovery of unauthorized payments by the state.,,,,James Gray,,1/4/2021
21-0178,relative to cycling on the left side of the road,HB 126,This bill extends the time for the notice of the execution of a municipal or state tax lien to be given to a mortgagee.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=178&txtFormat=html,Lino Avellani,,1/4/2021
21-0179,relative to freedom of speech and association on college campuses.,,,,Joe Alexander,"Gary Daniels, Kevin Avard, William Marsh, Travis O'Hara, Brodie Deshaies, Ross Berry, Bob Lynn, Tim Baxter",1/4/2021
21-0180,relative to notice of execution of tax lien to mortgagees.,,,,Michael Cahill,Debra DeSimone,12/24/2020
21-0181,establishing a commission to study workplace safety in health care settings.,,,,James Gray,,12/31/2020
21-0182,"requesting an investigation on whether opioids, benzodiazepines, and exposure to chemical agents contribute to suicides by veterans.
",,,,Max Abramson,,1/4/2021
21-0183,allowing prisoners serving life sentences to be eligible for parole after 25 years.,,,,Max Abramson,Casey Conley,1/4/2021
21-0185,relative to prosecutions for certain assaults against minors.,HB 138-FN,This bill requires parole review of certain offenders sentenced to life without parole.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=185&txtFormat=html,Max Abramson,Aidan Ankarberg,1/4/2021
21-0187,prohibiting political advocacy in public schools,HB 127,This bill clarifies the circumstances under which political advertisements may be placed on public property.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=187&txtFormat=html,Max Abramson,Peter Torosian,1/4/2021
21-0188,relative to apprenticeship programs in trade and industry.,,,,Brian Seaworth,,12/24/2020
21-0189,reducing the penalty for certain first offense drug possession charges.,,,,Brian Seaworth,"John Reagan, John Potucek, Kevin Verville, Casey Conley, Terry Roy",12/11/2020
21-0191,"relative to exemptions from prosecution for victims of human trafficking.
 ",HB 87,"This bill amends the definition of ""electioneering"" to remove the prohibition against wearing clothing or paraphernalia that a reasonable person would believe explicitly advocates for or against any candidate, political party, or measure being voted.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=191&txtFormat=html,Ruth Ward,,11/24/2020
21-0192,relative to interference with the enjoyment of a dwelling place.,,,,Ruth Ward,,11/19/2020
21-0193,establishing a commission to differentiate the cost of education and the cost of care for children in a residential facility.,,,,Ruth Ward,,1/4/2021
21-0194,"repealing certain inactive committees and revising the membership or duties of certain committees, councils, and boards.",HB 113,This bill requires an employer to pay an employee for earned but unused vacation time.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=194&txtFormat=html,Karen Ebel,"Sharon Carson, Mary Heath, Cindy Rosenwald",1/4/2021
21-0195,permitting tastings by liquor manufacturers at farmers' markets.,,,,John Potucek,"John Reagan, Regina Birdsell, David Binford, Hershel Nunez, Erin Hennessey, Erica Layon, Cody Belanger, Aidan Ankarberg",1/4/2021
21-0196,relative to enforcement of immigration laws and the prohibition of sanctuary policies.,HB 162,This bill allows liquor manufacturers to offer samples at farmers' markets.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=196&txtFormat=html,John Potucek,"Max Abramson, Leonard Turcotte, Susan DeLemus, David Binford, Bill Gannon, Tom Dolan, Gregg Hough, Ted Gorski, Erica Layon",1/4/2021
21-0197,relative to payment for earned but unused vacation or personal time.,HB 186,This bill repeals certain inactive committees and revises the membership and duties of others.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=197&txtFormat=html,Michael Cahill,"Judith Spang, Andrew Renzullo, Rebecca Perkins Kwoka",11/20/2020
21-0198,requiring workers' compensation to cover prophylactic treatment for critical exposure,,,,Michael Cahill,"John Reagan, Jeffrey Goley, Patrick Abrami, Alexis Simpson, Mark Pearson, Stephen Pearson",1/4/2021
21-0200,relative to the definition of electioneering. ,,,,John Potucek,"Al Baldasaro, David Binford, Alan Bershtein, Gregg Hough, Erica Layon, Aidan Ankarberg",12/15/2020
21-0201,"relative to regulation of interpreters for the deaf, deaf blind, and hard of hearing.
",,,,Mark Pearson,"Lou D'Allesandro, Norman Major, Kimberly Rice, Regina Birdsell, Joseph Guthrie, Frances Nutter-Upham, Gary Woods",12/28/2020
21-0202,relative to credits for certain energy production not issued renewable energy certificates.,HB 220,This bill establishes the policy for medical freedom in immunizations for communicable diseases.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=202&txtFormat=html,Lee Oxenham,"David Watters, Rebecca McWilliams",1/4/2021
21-0203,removing the work requirement of the New Hampshire granite advantage health care program.,HB 221,This bill makes the state immunization registry an opt-in program rather than an opt-out program.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=203&txtFormat=html,Joe Schapiro,"Jerry Knirk, Jeffrey Salloway, Kristina Schultz, Rebecca McWilliams, Cindy Rosenwald",12/30/2020
21-0204,relative to alternative compliance payments for renewable energy obligations not met through the purchase of renewable energy credits.,,,,Anne Copp,,1/4/2021
21-0205,making the state vaccine registry an opt-in program.,HB 185-FN,This bill removes the work and community engagement requirements of the New Hampshire granite advantage health care program.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=205&txtFormat=html,Timothy Lang,"Jeanine Notter, Kimberly Rice, Kevin Avard, David Binford, Tony Lekas, Hershel Nunez, Mike Bordes, Juliet Harvey-Bolia, Douglas Trottier, Diane Pauer",1/4/2021
21-0206,establishing medical freedom in immunizations.,,,,Timothy Lang,"Jeanine Notter, Kimberly Rice, Claire Rouillard, Kevin Avard, David Binford, Howard Pearl, Hershel Nunez, Mike Bordes, Juliet Harvey-Bolia, Diane Pauer",11/23/2020
21-0207,"relative to hearings of the New Hampshire board of nursing.
",,,,Ruth Ward,,11/23/2020
21-0208,"relative to nursing home standards.

",,,,Ruth Ward,,1/4/2021
21-0209,relative to placement and removal of political advertising.,,,,Norman Silber,,1/4/2021
21-0211,relative to using Atlantic Standard Time in New Hampshire.,,,,Josh Yokela,"Gregory Hill, Kristina Schultz, Alicia Lekas, Michael Yakubovich",1/4/2021
21-0212,repealing the prohibition on armed civilian groups.,HB 137,"This bill exempts certain statewide standards and protocols relative to information technology, networks, telephony, and cyber security developed by the department of information technology from rulemaking under RSA 541-A.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=212&txtFormat=html,Michael Yakubovich,"Tony Lekas, Terry Roy, Erica Layon",1/4/2021
21-0213,relative to the calculation of net energy metering payments or credits.,,,,Fred Plett,,1/4/2021
21-0214,relative to the submission of evidence in divorce proceedings.,,,,Josh Yokela,"Linda Gould, Scott Wallace",1/4/2021
21-0215,relative to the date of the state primary election.,,,,Joe Sweeney,"Joe Alexander, Cam Kenney",1/4/2021
21-0217,relative to campaign finance reform.,,,,Joe Sweeney,"Joe Alexander, Ross Berry",1/4/2021
21-0218,relative to the adoption of bylaws and ordinances by municipalities.,HB 98,This bill changes the date of the state primary election to the first Tuesday in June.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=218&txtFormat=html,Josh Yokela,,1/4/2021
21-0221,relative to the rulemaking authority of the department of information technology.,HB 86,This bill repeals the prohibition on armed civilian groups.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=221&txtFormat=html,Lynne Ober,"Sharon Carson, Kenneth Weyler, Carol McGuire, Tracy Emerick",1/4/2021
21-0222,relative to community small groundwater withdrawal.,HB 85,This bill provides that New Hampshire will use Atlantic Standard Time throughout the calendar year if Massachusetts and Maine also move to Atlantic Standard Time.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=222&txtFormat=html,Mark Pearson,"Kenneth Weyler, Regina Birdsell, Joseph Guthrie, David Welch, Dennis Green, Jeffrey Salloway, Deborah Hobson",1/4/2021
21-0223,relative to construction standards for schools.,,,,Mark Pearson,"Marjorie Porter, Bill Nelson, Jerry Knirk, Gary Woods, Gary Merchant",1/4/2021
21-0225,relative to appointment of counsel in juvenile court proceedings.,,,,Paul Berch,"Marjorie Smith, Mary Beth Walz, Claire Rouillard, Edward Gordon, Jeffrey Salloway, Cassandra  Levesque, Cody Belanger",12/14/2020
21-0226,relative to recount fees.,HB 223,This bill authorizes political parties to request and subscribe to the absentee ballot request list from the secretary of state.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=226&txtFormat=html,James Gray,,12/31/2020
21-0227,relative to the official ballot referendum form of town meetings.,HB 224,This bill allows for after market tinting of side windows.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=227&txtFormat=html,Diane Pauer,,1/4/2021
21-0228,relative to employee time records.,,,,Josh Yokela,,1/4/2021
21-0229,relative to employee uniforms.,,,,Josh Yokela,,1/4/2021
21-0230,relative to tinted windows on motor vehicles.,,,,Josh Yokela,"Max Abramson, Gregory Hill, Michael Yakubovich, Travis O'Hara, Cody Belanger",1/4/2021
21-0231,relative to political party access to a list of absentee ballot requests. ,,,,Joe Sweeney,Joe Alexander,1/4/2021
21-0233,relative to the calculation of child support.,,,,Josh Yokela,"Patrick Abrami, Dennis Malloy, Peter Petrigno",1/4/2021
21-0234,relative to abandoned underwater cables.,,,,Norman Silber,"Raymond Howard, Betty Gay, Harry Bean, Mike Bordes, Gregg Hough, Paul Terry, Travis O'Hara",1/4/2021
21-0236,relative to the calculation of child support in cases with equal or approximately equal parenting time.,,,,Debra DeSimone,,1/4/2021
21-0237,relative to maximum vehicle speed limitations.,,,,Josh Yokela,,12/21/2020
21-0239,relative to sealing records in nonpublic session under the right-to-know law.,HB 228,This bill provides a formula for the calculation of child support in cases with equal or approximately equal parenting time.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=239&txtFormat=html,Josh Yokela,Michael Yakubovich,1/4/2021
21-0240,repealing the regulation of household goods carriers.,,,,Josh Yokela,,1/4/2021
21-0241,	 relative to the form of municipal budgets.,HB 219,"This bill repeals RSA 332-J, relative to athlete agents.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=241&txtFormat=html,Tony Piemonte,"Kenneth Weyler, Michael Sylvia, Jason Osborne, Chris True, Kevin Verville, Jess Edwards, Peter Torosian, Bill Gannon, Michael Yakubovich",1/4/2021
21-0242,repealing the state health assessment and state health improvement plan council.,HB 218,"This bill repeals RSA 321, relative to itinerant vendors.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=242&txtFormat=html,Jess Edwards,Mark Pearson,1/4/2021
21-0243,relative to workplace lactation rights.,HB 217,"This bill repeals RSA 320, relative to the regulation of hawkers and peddlers.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=243&txtFormat=html,Richard Abel,"Christy Bartlett, Laurel Stavis, Kristina Fargo",1/4/2021
21-0244,repealing RSA 323 regarding lightning rod dealers and salesmen.,HB 208,"This bill repeals RSA 323, relative to lightning rod dealers and salesmen.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=244&txtFormat=html,Josh Yokela,,1/4/2021
21-0245,repealing RSA 320 regarding hawkers and peddlers.,,,,Josh Yokela,,1/4/2021
21-0246,repealing RSA 321 regarding itinerant vendors.,HB 157,This bill repeals the state health improvement plan and the state health improvement plan advisory council.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=246&txtFormat=html,Josh Yokela,,1/4/2021
21-0247,repealing RSA 332-J regarding athlete agents.,HB 222-FN,"This bill adds New Hampshire municipalities to the list of organizations approved to issue decals for multi-use plates, provided that such decals are issued solely to municipal officers upon showing of proof of office.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=247&txtFormat=html,Josh Yokela,,12/30/2020
21-0249,allowing voters to vote by absentee ballot.,HB 177,"This bill prohibits the siting of new landfills, excluding expansions of existing landfills, near state parks.  This bill also defines state parks for the purposes of prohibiting the siting of new landfills.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=249&txtFormat=html,Katherine Rogers,"David Watters, Donna Soucy, Peter Leishman, Ellen Read, Kate Murray, Kristina Schultz, Nicole Klein-Knight",12/23/2020
21-0250,relative to the funding source for the domestic violence programs fund.,,,,Jess Edwards,,1/4/2021
21-0253,relating to the retirement age of judges. Providing that the retirement age of judges be increased.,,,,Bob Lynn,,1/4/2021
21-0254,relative to the judicial retirement plan.,,,,Bob Lynn,,12/4/2020
21-0255,establishing the coastal program administered by the department of environmental services,,,,David Watters,"Judith Spang, Michael Edgar, James Gray, Bill Gannon, Tom Sherman, Rebecca Perkins Kwoka",1/4/2021
21-0256,establishing a statewide solid waste disposal reduction goal. ,,,,David Watters,"Lou D'Allesandro, Karen Ebel, Chuck Grassie, Megan Murray, Cindy Rosenwald",11/25/2020
21-0257,establishing a dental benefit under the state Medicaid program.,,,,Cindy Rosenwald,"Lou D'Allesandro, Jeb Bradley, David Watters, Donna Soucy, Mary Jane Wallner, Sharon Nordgren, William Marsh, Jay Kahn, Kevin Cavanaugh, Tom Sherman, Diane Langley, Suzanne Prentiss, Rebecca Whitley, Rebecca Perkins Kwoka",1/4/2021
21-0258,prohibiting the siting of a landfill near a state park.,,,,Edith Tucker,"William Hatch, Larry Laflamme, Timothy Egan, Erin Hennessey, Dennis Thompson",12/30/2020
21-0259,relative to voter qualifications and registration procedures.,,,,Norman Silber,Max Abramson,1/4/2021
21-0260,authorizing New Hampshire municipalities to issue decals for motor vehicle plates to municipal officers.,,,,Cody Belanger,,1/4/2021
21-0261,"relative to on-premises cigar, beverage, and liquor licenses.",,,,Cody Belanger,"Al Baldasaro, Lino Avellani, Max Abramson, David Binford, Travis O'Hara",12/21/2020
21-0262,establishing a committee to study air quality in school buildings.,,,,Brian Sullivan,Dianne Schuett,1/4/2021
21-0263,relative to penalties for dog theft and tampering with a dog's radio collar.,HB 214,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=263&txtFormat=html,Brian Sullivan,"Jeffrey Goley, Skip Rollins, Barbara Comtois",1/4/2021
21-0264,"defining ""wake boat.""",HB 215,This bill permits a school district to contract with an independent school or private school in this or another state.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=264&txtFormat=html,John MacDonald,"Suzanne Smith, Glenn Cordelli, Karel Crawford, Karen Ebel, Linda Tanner, Dan Wolf, William Marsh, Jerry Knirk, Roger Dontonville, Brodie Deshaies",1/4/2021
21-0265,relative to private rights of action regarding pupil safety.,HB 182,This bill requires the principal or other administrator of a high school to grant credit for courses and programs completed at other approved schools.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=265&txtFormat=html,Glenn Cordelli,"Barbara Shaw, Ralph Boehm, Rick Ladd, Jason Osborne, Kevin Verville, Ruth Ward, Alicia Lekas, Erica Layon",1/4/2021
